Congress,Years,BillsIntroduced,AvgBillsIntroducedPerMember,BillsPassed,BillsPassedtoBillsIntroduced,RecordedVotes,DaysInSession,HoursInSession,HrsPerDayInSession,CommitteeAndSubcommitteeMeetings
80,1947-1948,3186,33.2,1670,0.524,248,257,1462,5.7,n.a.
81,1949-1950,4486,46.7,2362,0.527,455,389,2410,6.2,n.a.
82,1951-1952,3665,38.2,1849,0.505,331,287,1648,5.7,n.a.
83,1953-1954,4077,42.5,2231,0.547,270,294,1962,6.7,n.a.
84,1955-1956,4518,47.1,2550,0.564,224,224,1362,6.1,2607
85,1957-1958,4532,47.2,2202,0.486,313,271,1876,6.9,2748
86,1959-1960,4149,41.5,1680,0.405,422,280,2199,7.9,2271
87,1961-1962,4048,40.5,1953,0.482,434,323,2164,6.7,2532
88,1963-1964,3457,34.6,1341,0.388,541,375,2395,6.4,2493
89,1965-1966,4129,41.3,1636,0.396,497,345,1814,5.3,2889
90,1967-1968,4400,44,1376,0.313,595,358,1961,5.5,2892
91,1969-1971,4867,48.7,1271,0.261,667,384,2352,6.1,3264
92,1971-1972,4408,44.1,1035,0.235,955,348,2295,6.6,3559
93,1973-1974,4524,45.2,1115,0.246,1138,352,2152,6.1,4067
94,1975-1976,4115,41.2,1038,0.252,1311,320,2210,6.9,4265
95,1977-1978,3800,38,1070,0.282,1156,337,2510,7.4,3960
96,1979-1980,3480,34.8,976,0.28,1055,333,2324,7,3790
97,1981-1982,3396,34,786,0.231,966,312,2160,6.9,3236
98,1983-1984,3454,34.5,936,0.271,673,281,1951,6.9,2471
99,1985-1986,3386,33.9,940,0.278,740,313,2531,8.1,2373
100,1987-1988,3325,33.3,1002,0.301,799,307,2342,7.6,2493
101,1989-1990,3669,36.7,980,0.267,638,274,2254,8.2,2340
102,1991-1992,3738,37.4,947,0.253,550,287,2292,8,2039
103,1993-1994,2805,28.1,682,0.243,724,291,2514,8.6,2043
104,1995-1996,2266,22.7,518,0.229,919,343,2876,8.4,1601
105,1997-1998,2718,27.2,586,0.216,612,296,2188,7.4,1954
106,1999-2000,3343,33.4,819,0.245,672,303,2202,7.3,1862
107,2001-2002,3242,32.4,554,0.171,633,322,2280,7.1,1605
108,2003-2004,3078,30.8,759,0.247,675,300,2486,8.3,1506
109,2005-2006,4163,41.6,684,0.164,645,297,2250,7.6,1513
110,2007-2008,3738,37.4,556,0.149,666,374,2364,6.3,2458
111,2009-2010,4101,41,176,0.043,707,349,2495,7.1,2374
112,2011-2012,3767,37.7,364,0.097,486,323,2032,6.3,1577
113,2013-2014,3038,30.4,618,0.203,658,292,2003,6.9,1559
114,2015-2016,3589,35.9,427,0.119,508,333,1855,5.6,1595
115,2017-2018,3874,38.7,583,0,599,386,2182,6,1633
